	name	genus	species	Size	#_contigs	Contig_N50	Longest_contig	Completness	Contamination	CheckMStatus	RNAPass	MIMAG	SLCID	eigen_index	eigen_weight	SLCCat
13	SPMP01_bin.33	Megasphaera_B	Megasphaera_B sp900549385	1850048.0	22.0	131362.0	199153.0	89.42	0.3	MEDIUM	True	MEDIUM	183	0	0.5001468142127711	Uncultivated
14	SPMP01_bin.36	Parabacteroides	Parabacteroides merdae	3868261.0	136.0	39908.0	136568.0	95.53	0.58	HIGH	False	MEDIUM	258	0	0.2051649024398124	Isolate
15	SPMP01_bin.4	Allisonella	Allisonella histaminiformans	1381693.0	133.0	13204.0	39643.0	90.4	1.29	HIGH	False	MEDIUM	43	0	0.4489501773445453	Isolate
16	SPMP01_bin.40	Acidaminococcus	Acidaminococcus intestini	1993830.0	82.0	39604.0	154968.0	87.54	1.2	MEDIUM	False	MEDIUM	321	21	0.1768716279810372	Isolate
17	SPMP01_bin.41	Blautia	Blautia sp002161285	2862161.0	307.0	13508.0	55318.0	77.89	0.0	MEDIUM	False	MEDIUM	515	0		Isolate
18	SPMP01_bin.43	Phocaeicola	Phocaeicola vulgatus	4276053.0	313.0	19562.0	87548.0	78.86	1.97	MEDIUM	True	MEDIUM	33	24	0.1391479513167829	Isolate
19	SPMP01_bin.48	Ligilactobacillus	Ligilactobacillus ruminis	2115322.0	5.0	1158670.0	1158670.0	98.25	0.0	HIGH	True	HIGH	646	3	0.1933535847808948	Isolate
20	SPMP01_bin.49	CAG-1427	CAG-1427 sp000436075	1756005.0	14.0	199825.0	466213.0	96.24	1.21	HIGH	False	MEDIUM	150	3	0.4992711142436887	Uncultivated
21	SPMP01_bin.5	Bifidobacterium	Bifidobacterium longum	1893379.0	7.0	408986.0	600628.0	78.16	5.4	MEDIUM	False	MEDIUM	284	70	0.1081010805306484	Isolate
22	SPMP01_bin.7	Enterococcus_C	Enterococcus_C asini	2305013.0	105.0	35625.0	124718.0	62.78	3.48	MEDIUM	False	MEDIUM	502	0		Isolate
23	SPMP01_bin.9	Limosilactobacillus	Limosilactobacillus mucosae	873706.0	5.0	488948.0	488948.0	51.72	0.0	MEDIUM	False	MEDIUM	6	4	0.4395198249188681	Isolate
24	SPMP02_bin.1	Blautia_A	Blautia_A sp000436615	1555000.0	4.0	460793.0	705074.0	53.59	0.0	MEDIUM	False	MEDIUM	98	3	0.498309533906246	Uncultivated
25	SPMP02_bin.10	Ligilactobacillus	Ligilactobacillus ruminis	2155234.0	4.0	587666.0	1034055.0	97.73	0.52	HIGH	True	HIGH	646	6	0.1933252234846646	Isolate
26	SPMP02_bin.12	Collinsella	Collinsella sp002232035	1183433.0	8.0	604757.0	604757.0	65.78	1.91	MEDIUM	False	MEDIUM	0	31	0.1749298880292898	Isolate
27	SPMP02_bin.13	Phocaeicola	Phocaeicola vulgatus	4486001.0	19.0	490922.0	1032432.0	96.97	0.19	HIGH	True	HIGH	33	5	0.1395790189667318	Isolate
28	SPMP02_bin.22	Roseburia	Roseburia inulinivorans	4696860.0	79.0	194877.0	644982.0	98.92	9.82	MEDIUM	False	MEDIUM	69	9	0.2234051279251741	Isolate
29	SPMP02_bin.23	Klebsiella	Klebsiella pneumoniae	4574490.0	264.0	29519.0	104213.0	80.98	1.22	MEDIUM	False	MEDIUM	335	2	0.3021775616855996	Isolate
30	SPMP02_bin.28	Streptococcus	Streptococcus salivarius	1594940.0	101.0	26418.0	87730.0	64.01	1.32	MEDIUM	False	MEDIUM	53	15	0.2176217270359399	Isolate
31	SPMP02_bin.3	Lachnospira	Lachnospira rogosae	1870896.0	14.0	159375.0	273843.0	61.58	0.0	MEDIUM	False	MEDIUM	251	15	0.2173145578355171	Isolate
32	SPMP02_bin.30	TF01-11	TF01-11 sp000436755	1922622.0	334.0	6249.0	44026.0	57.49	0.0	MEDIUM	False	MEDIUM	418	2	0.5763496962649569	Uncultivated
33	SPMP02_bin.41	Collinsella	Collinsella sp003479805	2009096.0	20.0	222576.0	455630.0	98.3	3.23	HIGH	False	MEDIUM	472	0		Uncultivated
34	SPMP02_bin.48	Parabacteroides	Parabacteroides distasonis	4031349.0	228.0	25468.0	109120.0	87.76	0.59	MEDIUM	False	MEDIUM	102	28	0.1414633125701299	Isolate
35	SPMP02_bin.5	Anaerostipes	Anaerostipes hadrus	2639579.0	8.0	442618.0	960836.0	96.64	1.34	HIGH	True	HIGH	154	32	0.1190238125104575	Isolate
36	SPMP02_bin.54	Olsenella_B		2112325.0	24.0	287388.0	572130.0	94.96	0.0	HIGH	False	MEDIUM	167	14	0.2554868123487658	Isolate
37	SPMP02_bin.56	Blautia_A	Blautia_A sp900066165	4757445.0	78.0	141057.0	545696.0	97.24	2.05	HIGH	True	HIGH	35	35	0.1371753814015616	Uncultivated
38	SPMP02_bin.58	Faecalimonas	Faecalimonas nexilis	2714692.0	77.0	61028.0	189617.0	89.29	2.27	MEDIUM	False	MEDIUM	522	4	0.3021680474579842	Isolate
39	SPMP02_bin.59	Enorma	Enorma massiliensis	1767797.0	155.0	18036.0	89767.0	66.87	0.0	MEDIUM	False	MEDIUM	58	3	0.446367910706901	Isolate
40	SPMP02_bin.61	Eggerthella	Eggerthella lenta	2498949.0	243.0	15816.0	84000.0	66.27	0.0	MEDIUM	False	MEDIUM	27	25	0.1791234897634587	Isolate
41	SPMP02_bin.63	Blautia_A	Blautia_A sp900066335	3039104.0	9.0	870611.0	923401.0	82.78	3.8	MEDIUM	True	MEDIUM	606	0	0.2897461331052057	Uncultivated
42	SPMP02_bin.66	Faecalibacterium	Faecalibacterium prausnitzii_G	1794131.0	17.0	194574.0	333254.0	70.82	1.7	MEDIUM	True	MEDIUM	62	33	0.1324931546412449	Isolate
43	SPMP02_bin.68	Olsenella		2137651.0	48.0	81621.0	188239.0	96.91	0.69	HIGH	False	MEDIUM	184	0	0.7071067811865476	Novel
44	SPMP02_bin.71	Megamonas	Megamonas funiformis	2383490.0	4.0	1900691.0	1900691.0	97.94	1.27	HIGH	True	HIGH	131	18	0.1585728109631599	Isolate
45	SPMP02_bin.72	Megasphaera	Megasphaera sp000417505	1577107.0	11.0	217629.0	469840.0	75.86	0.0	MEDIUM	False	MEDIUM	220	32	0.1473128379361149	Isolate
46	SPMP02_bin.76	CAG-217	CAG-217 sp000436335	1966458.0	3.0	1383590.0	1383590.0	97.32	0.0	HIGH	True	HIGH	155	16	0.2133828823916262	Uncultivated
47	SPMP02_bin.78	Ruminococcus_B	Ruminococcus_B gnavus	2938486.0	22.0	223530.0	447011.0	97.95	7.31	MEDIUM	False	MEDIUM	92	0	0.1868542721474085	Isolate
48	SPMP02_bin.79	Bifidobacterium	Bifidobacterium longum	2119292.0	15.0	379664.0	492963.0	73.51	4.97	MEDIUM	False	MEDIUM	284	74	0.1079204596517548	Isolate
49	SPMP02_bin.8	Dialister	Dialister sp900343095	741685.0	1.0	741685.0	741685.0	56.9	0.0	MEDIUM	False	MEDIUM	609	16	0.1891344759512147	Isolate
50	SPMP02_bin.80	Streptococcus	Streptococcus lutetiensis	1832474.0	89.0	35046.0	90832.0	66.51	5.4	MEDIUM	False	MEDIUM	124	4	0.4415839004196151	Isolate
51	SPMP02_bin.83	Bacteroides	Bacteroides stercoris	2823381.0	36.0	132596.0	326519.0	77.99	0.37	MEDIUM	True	MEDIUM	253	17	0.2225860607750773	Isolate
52	SPMP03_bin.1	Faecalibacterium	Faecalibacterium prausnitzii_H	2564163.0	5.0	1298882.0	1298882.0	99.53	0.68	HIGH	True	HIGH	547	0		Isolate
53	SPMP03_bin.101	Roseburia	Roseburia hominis	3018944.0	30.0	163901.0	732970.0	95.42	0.24	HIGH	True	HIGH	106	4	0.2096098324797127	Isolate
54	SPMP03_bin.102	Alistipes_A	Alistipes_A indistinctus	2625350.0	139.0	30392.0	87657.0	74.58	0.0	MEDIUM	False	MEDIUM	198	3	0.4464784017392743	Isolate
55	SPMP03_bin.104	Clostridium_A	Clostridium_A leptum	3163513.0	9.0	526719.0	1352278.0	98.99	2.01	HIGH	True	HIGH	540	2	0.2903180532050469	Isolate
56	SPMP03_bin.11	Slackia_A	Slackia_A isoflavoniconvertens	2119399.0	29.0	109029.0	303583.0	98.79	0.81	HIGH	True	HIGH	108	0	0.2786498543991462	Uncultivated
57	SPMP03_bin.110	Agathobacter	Agathobacter rectalis	3242653.0	9.0	776216.0	878202.0	97.53	2.42	HIGH	False	MEDIUM	101	17	0.1295008269366825	Isolate
58	SPMP03_bin.112	Alistipes	Alistipes putredinis	2148161.0	8.0	371626.0	740917.0	97.6	0.96	HIGH	False	MEDIUM	452	11	0.1585955365742161	Isolate
59	SPMP03_bin.117	Fusicatenibacter	Fusicatenibacter saccharivorans	3129975.0	20.0	253215.0	642474.0	97.68	1.27	HIGH	True	HIGH	506	22	0.1115748844999547	Isolate
60	SPMP03_bin.118	Eubacterium_I		3689527.0	289.0	21255.0	101309.0	57.54	8.19	MEDIUM	False	MEDIUM	17	7	0.3473232761674504	Isolate
61	SPMP03_bin.119	Oscillibacter	Oscillibacter welbionis	1936837.0	215.0	12169.0	40905.0	56.35	1.72	MEDIUM	False	MEDIUM	264	8	0.2883584622170287	Uncultivated
62	SPMP03_bin.120	Agathobaculum	Agathobaculum butyriciproducens	2763064.0	91.0	81273.0	336432.0	86.31	4.87	MEDIUM	True	MEDIUM	22	24	0.1283674205069317	Isolate
63	SPMP03_bin.121	Alistipes	Alistipes shahii	2498724.0	174.0	23068.0	78387.0	80.34	1.04	MEDIUM	False	MEDIUM	123	10	0.2239649585227299	Isolate
64	SPMP03_bin.123	CAG-41	CAG-41 sp900066215	2866759.0	13.0	349458.0	423382.0	96.64	1.23	HIGH	True	HIGH	90	14	0.136580167582953	Uncultivated
65	SPMP03_bin.124	Eubacterium_G	Eubacterium_G sp000434315	2871893.0	102.0	81629.0	216934.0	91.55	1.34	HIGH	False	MEDIUM	5	0	0.4497596331583995	Uncultivated
66	SPMP03_bin.128	Ruminococcus_E	Ruminococcus_E sp003526955	1826619.0	3.0	1062672.0	1062672.0	70.69	7.76	MEDIUM	False	MEDIUM	116	8	0.3152579780641491	Uncultivated
67	SPMP03_bin.130	Phascolarctobacterium_A		2049320.0	39.0	88811.0	214433.0	95.81	0.9	HIGH	True	HIGH	28	6	0.316223909999753	Isolate
68	SPMP03_bin.14	UMGS1375	UMGS1375 sp900066615	2246003.0	12.0	257973.0	593722.0	91.7	0.0	HIGH	False	MEDIUM	104	0	0.1972228942785452	Uncultivated
69	SPMP03_bin.17	Alistipes_A	Alistipes_A sp900240235	2911270.0	19.0	222935.0	470341.0	97.12	0.0	HIGH	True	HIGH	392	0	0.5782576610058128	Isolate
70	SPMP03_bin.19	Anaerobutyricum	Anaerobutyricum hallii_A	2499698.0	52.0	95793.0	269350.0	78.4	2.81	MEDIUM	False	MEDIUM	16	24	0.1709713009172144	Isolate
71	SPMP03_bin.2	Akkermansia	Akkermansia muciniphila	2833938.0	7.0	620882.0	749107.0	97.28	0.68	HIGH	True	HIGH	260	7	0.2582676363652745	Isolate
72	SPMP03_bin.20	CAG-217	CAG-217 sp000436335	1922107.0	8.0	271410.0	851831.0	94.3	0.0	HIGH	True	HIGH	155	7	0.2135985979100377	Uncultivated
73	SPMP03_bin.21	Anaerostipes	Anaerostipes hadrus_A	1626464.0	2.0	859288.0	859288.0	57.89	1.75	MEDIUM	False	MEDIUM	187	1	0.5775505444233048	Isolate
74	SPMP03_bin.22	Adlercreutzia	Adlercreutzia equolifaciens	2043323.0	175.0	19900.0	87306.0	50.47	1.61	MEDIUM	False	MEDIUM	4	16	0.2222080293844749	Isolate
75	SPMP03_bin.23	GCA-900066135	GCA-900066135 sp900543575	3037439.0	87.0	56727.0	140734.0	65.97	0.79	MEDIUM	True	MEDIUM	430	6	0.2673604800479977	Uncultivated
76	SPMP03_bin.28	Blautia_A	Blautia_A wexlerae	2549144.0	19.0	257273.0	520979.0	69.73	5.7	MEDIUM	True	MEDIUM	34	15	0.1670962855522976	Isolate
77	SPMP03_bin.30	Senegalimassilia	Senegalimassilia anaerobia	1505559.0	120.0	17777.0	73755.0	54.04	0.0	MEDIUM	False	MEDIUM	140	22	0.2022740472276901	Isolate
78	SPMP03_bin.32	CAG-110	CAG-110 sp000435995	2688288.0	62.0	67843.0	171307.0	92.62	1.34	HIGH	False	MEDIUM	161	1	0.5786190757485977	Uncultivated
79	SPMP03_bin.39	CAG-110	CAG-110 sp000434635	1887422.0	147.0	20515.0	59123.0	70.98	0.69	MEDIUM	False	MEDIUM	76	5	0.3768354849674425	Uncultivated
80	SPMP03_bin.4	Agathobacter	Agathobacter faecis	875311.0	4.0	220525.0	409311.0	50.88	0.0	MEDIUM	False	MEDIUM	309	60	0.1238536103076313	Isolate
81	SPMP03_bin.43	NK3B98	NK3B98 sp900545815	1830722.0	130.0	22970.0	81322.0	68.33	1.68	MEDIUM	False	MEDIUM	600	0		Uncultivated
82	SPMP03_bin.46	CAG-170	CAG-170 sp900545925	2696428.0	176.0	24810.0	131732.0	76.33	1.5	MEDIUM	False	MEDIUM	295	2	0.4993506090894249	Uncultivated
83	SPMP03_bin.48	KLE1615	KLE1615 sp900066985	3414816.0	75.0	100415.0	286423.0	69.3	1.75	MEDIUM	False	MEDIUM	10	33	0.1387123601691803	Uncultivated
84	SPMP03_bin.49	Faecalibacterium	Faecalibacterium prausnitzii_C	1415197.0	11.0	214094.0	336847.0	72.97	0.0	MEDIUM	False	MEDIUM	54	38	0.1548578940684692	Isolate
85	SPMP03_bin.51	Eubacterium_F	Eubacterium_F sp003491505	2573758.0	17.0	190640.0	377349.0	93.88	0.67	HIGH	False	MEDIUM	400	3	0.3775746263761741	Uncultivated
86	SPMP03_bin.54	UBA7160		2298182.0	128.0	30179.0	81394.0	54.1	2.22	MEDIUM	False	MEDIUM	222	6	0.3764517395632697	Uncultivated
87	SPMP03_bin.55	UMGS1590	UMGS1590 sp900552455	2298498.0	25.0	134239.0	347931.0	74.35	1.59	MEDIUM	True	MEDIUM	68	2	0.5772182364014439	Uncultivated
88	SPMP03_bin.56	Prevotella	Prevotella copri_A	3442180.0	16.0	377170.0	599019.0	96.2	0.45	HIGH	True	HIGH	95	2	0.4086167174985689	Isolate
89	SPMP03_bin.57	UBA1191	UBA1191 sp900549125	2087090.0	34.0	107217.0	226382.0	89.46	1.77	MEDIUM	True	MEDIUM	32	3	0.378869895697691	Uncultivated
90	SPMP03_bin.58	Evtepia	Evtepia sp004556345	1959888.0	23.0	121276.0	334941.0	83.89	0.67	MEDIUM	True	MEDIUM	374	1	0.316959762110915	Uncultivated
91	SPMP03_bin.60	Collinsella	Collinsella sp900542825	2200955.0	17.0	229694.0	544481.0	93.41	4.68	HIGH	True	HIGH	332	1	0.7071067811865476	Uncultivated
92	SPMP03_bin.61	Blautia_A	Blautia_A sp003478765	1404404.0	46.0	69091.0	111467.0	50.35	0.0	MEDIUM	False	MEDIUM	269	2	0.575724284322535	Uncultivated
93	SPMP03_bin.63	Faecalibacterium	Faecalibacterium prausnitzii_G	2337151.0	18.0	180757.0	298762.0	94.57	1.38	HIGH	True	HIGH	62	2	0.1330077255951697	Isolate
94	SPMP03_bin.64	Acutalibacter	Acutalibacter sp900543555	2250746.0	59.0	56873.0	192774.0	81.87	0.0	MEDIUM	False	MEDIUM	67	1	0.4475700285931002	Uncultivated
95	SPMP03_bin.66	Bacteroides	Bacteroides ovatus	5731278.0	418.0	21362.0	106514.0	59.79	4.07	MEDIUM	False	MEDIUM	60	4	0.4446475185089142	Isolate
96	SPMP03_bin.67	Collinsella		2029676.0	56.0	66392.0	212189.0	86.55	4.03	MEDIUM	False	MEDIUM	0	13	0.1770099346387582	Isolate
97	SPMP03_bin.69	Anaerobutyricum	Anaerobutyricum hallii	3220377.0	9.0	674419.0	970292.0	96.45	5.03	MEDIUM	True	MEDIUM	97	4	0.1497246098795912	Isolate
98	SPMP03_bin.7	CAG-103	CAG-103 sp000432375	1856433.0	54.0	69075.0	242075.0	89.04	0.0	MEDIUM	False	MEDIUM	578	5	0.2134803280688619	Uncultivated
99	SPMP03_bin.71	Bariatricus	Bariatricus comes	2042177.0	23.0	230421.0	644065.0	81.09	0.29	MEDIUM	True	MEDIUM	282	6	0.2775828410265444	Isolate
100	SPMP03_bin.72	CAG-1427	CAG-1427 sp900538545	1631921.0	57.0	44607.0	115368.0	82.63	0.12	MEDIUM	False	MEDIUM	168	7	0.3014121350938982	Uncultivated
101	SPMP03_bin.74	ER4	ER4 sp000765235	1965841.0	20.0	185341.0	316349.0	95.62	0.13	HIGH	False	MEDIUM	237	2	0.1746335357295749	Isolate
102	SPMP03_bin.75	Faecalibacterium	Faecalibacterium sp900539945	2074905.0	83.0	47653.0	108307.0	86.02	4.88	MEDIUM	False	MEDIUM	143	11	0.1892121371561061	Uncultivated
103	SPMP03_bin.77	Acetatifactor	Acetatifactor sp900066365	2999452.0	25.0	236898.0	454348.0	98.55	0.97	HIGH	False	MEDIUM	77	3	0.2677875776594234	Uncultivated
104	SPMP03_bin.8	Streptococcus	Streptococcus salivarius	1750848.0	65.0	41208.0	119606.0	65.27	0.52	MEDIUM	True	MEDIUM	53	12	0.217793708493848	Isolate
105	SPMP03_bin.80	CAG-83	CAG-83 sp900545585	1952343.0	92.0	34577.0	106427.0	90.94	2.01	HIGH	True	HIGH	518	0	0.7071067811865475	Uncultivated
106	SPMP03_bin.81	Ruminococcus_A	Ruminococcus_A sp000437095	2765826.0	20.0	249326.0	912762.0	94.3	0.0	HIGH	True	HIGH	73	2	0.3542709336514954	Uncultivated
107	SPMP03_bin.83	Dorea	Dorea longicatena	2989125.0	9.0	644412.0	1090995.0	97.66	0.0	HIGH	True	HIGH	79	17	0.164775539839392	Isolate
108	SPMP03_bin.84	Coprococcus_A	Coprococcus_A catus	3003218.0	22.0	204340.0	426395.0	96.96	1.34	HIGH	True	HIGH	117	3	0.2190117116448007	Isolate
109	SPMP03_bin.85	Megasphaera	Megasphaera sp000417505	2277861.0	17.0	290113.0	470001.0	98.33	0.0	HIGH	True	HIGH	220	34	0.1465877758730079	Isolate
110	SPMP03_bin.86	Dorea	Dorea sp000433215	2490795.0	25.0	221452.0	343042.0	78.63	0.9	MEDIUM	False	MEDIUM	331	1	0.5776341328489372	Uncultivated
111	SPMP03_bin.89	Catenibacterium	Catenibacterium mitsuokai	2347129.0	34.0	250407.0	550943.0	86.27	0.94	MEDIUM	False	MEDIUM	336	0	0.7071067811865476	Isolate
112	SPMP03_bin.9	Faecalibacterium	Faecalibacterium prausnitzii	1647713.0	80.0	34036.0	130313.0	60.78	0.0	MEDIUM	False	MEDIUM	20	21	0.1880103512779622	Isolate
113	SPMP03_bin.91	Ruminococcus_A	Ruminococcus_A sp003011855	2678240.0	59.0	120481.0	282051.0	74.37	3.51	MEDIUM	True	MEDIUM	314	20	0.1666453741401435	Isolate
114	SPMP03_bin.93	Mitsuokella	Mitsuokella multacida	2054482.0	38.0	135104.0	468537.0	90.65	0.66	HIGH	False	MEDIUM	47	10	0.2430150143191551	Isolate
115	SPMP03_bin.94	Dorea	Dorea sp900066555	2014143.0	106.0	32003.0	105751.0	75.49	2.29	MEDIUM	False	MEDIUM	39	2	0.3542881462007197	Uncultivated
116	SPMP03_bin.98	Gemmiger	Gemmiger qucibialis	2530673.0	18.0	368028.0	709003.0	74.15	1.36	MEDIUM	True	MEDIUM	207	30	0.1541938144242057	Uncultivated
117	SPMP03_bin.99	Ruminiclostridium_E	Ruminiclostridium_E siraeum	2407358.0	75.0	55439.0	135186.0	72.55	0.27	MEDIUM	False	MEDIUM	113	4	0.3022965330818949	Isolate
118	SPMP04_bin.10	CAG-279	CAG-279 sp000437795	2106697.0	40.0	74902.0	148403.0	76.76	0.5	MEDIUM	False	MEDIUM	279	7	0.2584631696140878	Uncultivated
119	SPMP04_bin.100	Alistipes	Alistipes obesi	2422889.0	42.0	127355.0	313487.0	94.31	0.75	HIGH	False	MEDIUM	488	4	0.3777101386951171	Isolate
120	SPMP04_bin.102	Ruminococcus_C	Ruminococcus_C sp000433635	1366439.0	7.0	408755.0	435002.0	66.04	0.0	MEDIUM	True	MEDIUM	141	7	0.2581144275046408	Uncultivated
121	SPMP04_bin.104	Eubacterium_R	Eubacterium_R sp000436835	1320643.0	58.0	43134.0	125291.0	57.66	0.0	MEDIUM	False	MEDIUM	216	19	0.21150386028584	Uncultivated
122	SPMP04_bin.106	CAG-1427	CAG-1427 sp900544455	1276874.0	76.0	23197.0	56674.0	52.29	2.42	MEDIUM	False	MEDIUM	24	5	0.4034463894651211	Uncultivated
123	SPMP04_bin.107	Megasphaera	Megasphaera sp900554215	1989743.0	138.0	21502.0	76880.0	81.17	2.1	MEDIUM	False	MEDIUM	682	0		Uncultivated
124	SPMP04_bin.108	ER4	ER4 sp000765235	2128871.0	13.0	232534.0	524519.0	96.64	0.0	HIGH	True	HIGH	237	4	0.1744832389136133	Isolate
125	SPMP04_bin.113	Bifidobacterium	Bifidobacterium longum	2183293.0	4.0	1469846.0	1469846.0	99.94	1.01	HIGH	False	MEDIUM	284	7	0.1088481516786572	Isolate
126	SPMP04_bin.114	CAG-180	CAG-180 sp000432435	2050071.0	10.0	534745.0	603951.0	97.99	0.34	HIGH	True	HIGH	364	2	0.2512020021263653	Uncultivated
127	SPMP04_bin.115	Faecalibacterium	Faecalibacterium prausnitzii_D	2176415.0	14.0	248812.0	392107.0	90.59	1.36	HIGH	True	HIGH	294	2	0.1608400227738813	Isolate
128	SPMP04_bin.117	Klebsiella	Klebsiella quasipneumoniae	5043981.0	14.0	1031480.0	1607445.0	95.89	2.41	HIGH	True	HIGH	202	1	0.5779480343512313	Isolate
129	SPMP04_bin.118	Agathobacter	Agathobacter faecis	2918669.0	74.0	88106.0	263916.0	95.41	2.73	HIGH	False	MEDIUM	309	43	0.1270718785756208	Isolate
130	SPMP04_bin.120	CAG-103	CAG-103 sp900543625	1891120.0	65.0	50207.0	114982.0	92.79	0.0	HIGH	False	MEDIUM	37	0	0.4098845691775213	Uncultivated
131	SPMP04_bin.13	CAG-177	CAG-177 sp003514385	1276985.0	7.0	841747.0	841747.0	55.5	0.0	MEDIUM	False	MEDIUM	142	20	0.2151563308318986	Uncultivated
132	SPMP04_bin.14	Blautia_A	Blautia_A massiliensis	3459965.0	28.0	382294.0	862597.0	95.7	5.38	MEDIUM	True	MEDIUM	50	12	0.1434213258494438	Isolate
133	SPMP04_bin.15	Gemmiger	Gemmiger qucibialis	2746642.0	17.0	282085.0	466698.0	94.26	0.68	HIGH	True	HIGH	207	3	0.1547931668784483	Uncultivated
134	SPMP04_bin.19	Agathobaculum	Agathobaculum butyriciproducens	1772329.0	175.0	17062.0	72396.0	70.1	0.81	MEDIUM	False	MEDIUM	22	52	0.1273064157903861	Isolate
135	SPMP04_bin.23	Faecalibacterium	Faecalibacterium prausnitzii_G	2045420.0	69.0	45364.0	131039.0	82.69	1.72	MEDIUM	False	MEDIUM	62	34	0.1324920904102719	Isolate
136	SPMP04_bin.25	Ruminococcus_E	Ruminococcus_E bromii_B	1128580.0	6.0	235076.0	460194.0	58.62	0.86	MEDIUM	False	MEDIUM	94	31	0.1653794289262622	Isolate
137	SPMP04_bin.26	Enterococcus_B	Enterococcus_B faecium_B	2558968.0	64.0	78121.0	165317.0	82.78	0.0	MEDIUM	True	MEDIUM	444	0		Isolate
138	SPMP04_bin.27	Faecalibacterium	Faecalibacterium prausnitzii_C	1813211.0	83.0	52363.0	112774.0	76.16	3.23	MEDIUM	False	MEDIUM	54	29	0.1558949465352035	Isolate
139	SPMP04_bin.29	CAG-83	CAG-83 sp001916855	1793898.0	52.0	43881.0	131601.0	87.42	0.84	MEDIUM	False	MEDIUM	300	0	0.4090506474200328	Uncultivated
140	SPMP04_bin.3	Catenibacterium	Catenibacterium mitsuokai	1607925.0	3.0	884533.0	884533.0	57.55	0.0	MEDIUM	False	MEDIUM	336	1	0.7071067811865476	Isolate
141	SPMP04_bin.31	Megasphaera	Megasphaera sp000417505	2220569.0	7.0	442428.0	749100.0	90.95	0.0	HIGH	True	HIGH	220	41	0.1462488061001333	Isolate
142	SPMP04_bin.33	Agathobacter	Agathobacter rectalis	2860112.0	26.0	218703.0	705170.0	97.26	0.0	HIGH	False	MEDIUM	101	0	0.1298474782544959	Isolate
143	SPMP04_bin.34	Ruminococcus_D	Ruminococcus_D bicirculans	2485910.0	85.0	54006.0	130851.0	85.94	0.0	MEDIUM	False	MEDIUM	291	29	0.1618804098034947	Isolate
144	SPMP04_bin.39	CAG-83	CAG-83 sp000435555	1751640.0	55.0	60385.0	279799.0	81.04	0.67	MEDIUM	True	MEDIUM	509	5	0.4076228360376406	Uncultivated
145	SPMP04_bin.43	Bilophila		3069337.0	117.0	37221.0	165666.0	91.72	0.59	HIGH	False	MEDIUM	209	1	0.7071067811865476	Uncultivated
146	SPMP04_bin.44	Prevotella	Prevotella sp900290275	2948406.0	87.0	51589.0	159243.0	91.65	0.48	HIGH	False	MEDIUM	629	0	0.7071067811865476	Isolate
147	SPMP04_bin.5	Bifidobacterium	Bifidobacterium adolescentis	2151368.0	2.0	1353983.0	1353983.0	98.48	0.0	HIGH	True	HIGH	280	22	0.1254506435305117	Isolate
